# Table Type: Attribute,,
# Description: 캐릭터 및 객체 속성 정의 테이블,,
# Rule: 콤마 사용 불가. Key는 고유 값이어야 하며 중복 불가. DataType은 CSharp 공용 타입 시스템 표준,,
# IMovableCharacter: MoveSpeed. Acceleration. Deceleration. TurnDeceleration,,
# IFallableCharacter: MoveSpeed. Acceleration,,
# IJumpableCharacter: JumpCount. JumpForce,,
Key,MaxValue,DataType
# Index: AttributeRegistry,,
# Property: 체력. Description: 체력은 HUD 반 칸 기준으로 가산. 체력과 임시체력의 MaxValue는 합산 값  56,,
Health,54,int
# Property: 임시체력. Description: 임시 체력은 HUD 반 칸 기준으로 가산. 체력과 임시체력의 MaxValue는 합산 값  56,,
TemporaryHealth,2,int
# Property: 이동속도,,
MoveSpeed,0,float
# Property: 가속도. Priority: MoveSpeed,,
Acceleration,0,float
# Property: 감속도. Priority: MoveSpeed,,
Deceleration,0,float
# Property: 방향 전환 감속. Priority: MoveSpeed,,
TurnDeceleration,0,float
# Property: 공격력,,
Damage,0,int
# Property: 공격속도. Priority: Damage,,
AttackSpeed,0,float
# Property: 공격범위. Priority: Damage,,
AttackRange,0,float
# Property: 공격간격. Priority: Damage,,
AttackInterval,0,float
# Property: 차지배율. Priority: Damage,,
ChargeMultiplier,0,float
# Property: 관통계수. Priority: Damage,,
PierceCount,0,int
# Property: 대시횟수,,
DashCount,28,int
# Property: 대시쿨타임. Priority: DashCount,,
DashCooldown,0,float
# Property: 대시거리. Priority: DashCount,,
DashDistance,0,float
# Property: 점프횟수,,
JumpCount,0,int
# Property: 점프력. Priority: JumpCount,,
JumpForce,0,float
# Property: 중력저항,,
GravityReduction,0,float
# Property: 무적시간,,
InvulnerabilityDuration,0,float
