# Table Type: Item,,,,,,,
# Description: 아이템 속성 정의 테이블,,,,,,,
# Rule: 콤마 사용 불가. ID는 고유 값이어야 하며 중복 불가. ItemType은 Equipment. Consumption. Etc. AddressableKey는 해당 오브젝트의 실제 스프라이트 이름. Destory는 버리기 가능 여부. MaxStack은 슬롯에 쌓을 수 있는 계수(장비 1스택),,,,,,,
# Foreign Key: Localization.csv,,,,,,,
ID,ItemCategory,NameKey,DescriptionKey,FlavorKey,AddressableKey,Destroy,MaxStack
# Index: ArmorItem,,,,,,,
1,Equipment,Item_Name_1,Item_Description_1,Item_Flavor_1,item_weapon_greatsword1,0,1
2,Equipment,Item_Name_2,Item_Description_2,Item_Flavor_2,item_weapon_greatsword1,0,1
3,Equipment,Item_Name_3,Item_Description_3,Item_Flavor_3,item_weapon_greatsword1,0,1
4,Equipment,Item_Name_4,Item_Description_4,Item_Flavor_4,item_weapon_greatsword1,0,1
# Index: WeaponItem,,,,,,,
5,Equipment,Item_Name_5,Item_Description_5,Item_Flavor_5,item_weapon_greatsword1,0,1
# Index: ConsumptionItem,,,,,,,
6,Consumption,Item_Name_6,Item_Description_6,Item_Flavor_6,item_weapon_greatsword1,1,99
# Index: EtcItem,,,,,,,
7,Etc,Item_Name_7,Item_Description_7,Item_Flavor_7,item_weapon_greatsword1,0,99
