# Table Type: ItemTemplate,,,,,
# Description: 아이템 능력치 값 정의 테이블,,,,,
# Rule: 콤마 사용 불가. ID는 Item 문서 내 아이템 ID와 연결. ApplyType은 Active. Passive. Duration. Value와 Duration 미적용은 값 0으로 선언. Flag는 일회성 여부,,,,,
# Foreign ID: Item.csv,,,,,
# Foreign Key: Attribute.csv,,,,,
ItemID,ApplyType,AttributeKey,Value,Duration,Flag
# Index: ItemTemplate,,,,,
1,Passive,Health,1,0,0
2,Passive,TemporaryHealth,1,0,1
3,Passive,MoveSpeed,1,0,0
3,Passive,DashCount,1,0,0
4,Passive,JumpCount,1,0,0
4,Passive,JumpForce,1,0,0
5,Passive,Damage,1,0,0
5,Passive,AttackSpeed,1,0,0
5,Passive,AttackInterval,0.2,0,0
6,Active,Health,1,0,0
