# Table Type: Localization,
# Description: 게임 내 공통 현지화 데이터 관리 테이블,
# Rule: 콤마 사용 불가. Key는 고유 값이어야 하며 중복 불가. 각 Key별 Text에 포맷팅 파라미터({0}/{1} 등) 사용 가능,
Key,Text
# Index: Action,
Action_Right,이동(우)
Action_Left,이동(좌)
Action_DownUtility,하강/앉기/드랍
Action_UpUtility,상승 및 투척
Action_Dash,대시
Action_Jump,점프
Action_Attack,공격
Action_Interact,상호 작용
Action_QuickSlot1,퀵슬롯1
Action_QuickSlot2,퀵슬롯2
Action_QuickSlot3,퀵슬롯3
Action_QuickSlot4,퀵슬롯4
Action_Inventory,인벤토리
Action_Active,액티브 스킬
Action_Pause,일시정지 메뉴
Action_DashCommand,대시 커맨드
# Index: Default,
None,None
Apply,적용
Complete,완료
Cancel,취소
Default,기본값
Language,언어
Reset,초기화
Switch,전환
Play,플레이
#Index: Scene,
Scene_Bootstrap,진입점
Scene_Hospital1,병원 입구 1
Scene_Hospital2,병원 입구 2
Scene_Hospital3,병원 입구 3
Scene_Counter,카운터
Scene_ConvenienceStore,매점
Scene_ElevatorHallway,엘리베이터 복도
Scene_Lobby,로비
Scene_Corridor,복도
Scene_Kitchen,주방
Scene_Terrace,테라스
Scene_GroceryStorage,식료품 창고
Scene_EmployeeBreakroom,직원 휴게실
Scene_Cafeteria,구내 식당
Scene_Office,사무실
Scene_PretreatmentRoom,전처리실
Scene_HumanStorage,인간 창고
#Index: Slot,
Slot_Auto,Auto
Slot_Day_Format,Day {0}
Slot_DayTime_Format,{0}:{1}:{2}
Slot_SaveTime_Format,{0}/{1}/{2}
