# Table Type: Localization,
# Description: 게임 내 콘솔 및 명령어 현지화 데이터 관리 테이블,
# Rule: 콤마 사용 불가. KEY는 고유 값이어야 하며 중복 불가. 언어별 텍스트에 포맷팅 파라미터({0} or {1} 등) 사용 가능,
Key,Text
# Index: CommandRegistry,
Command_Desc_Help,[CommandRegistry] 사용 가능한 명령어 목록을 표시하거나 명령어의 상세 설명을 확인합니다.
Command_Desc_Debug,[CommandRegistry] 디버그 모드를 켜거나 끕니다.
Command_Desc_Clear,[CommandRegistry] 콘솔창의 로그 기록을 지웁니다.
Command_Desc_FPS,[CommandRegistry] FPS 표시 UI를 켜거나 끕니다.
Command_Desc_Time,[CommandRegistry] 게임 타임 스케일을 설정하거나 확인합니다.
Command_Desc_Set,[CommandRegistry] 임의의 콘솔 변수를 설정합니다.
Command_Desc_Get,[CommandRegistry] 콘솔 변수의 값을 가져옵니다.
Command_Desc_LogSearch,[CommandRegistry] 로그 메시지에서 특정 키워드를 검색합니다.
Command_Desc_LogFilter,[CommandRegistry] 특정 타입의 로그 가시성을 설정합니다.
Command_Help_NotFound,[CommandRegistry] '{0}' 명령어에 대한 설명을 찾을 수 없습니다.
Command_Debug_Toggle,[CommandRegistry] 디버그 모드: {0}
Command_Clear_Success,[CommandRegistry] 콘솔 로그를 초기화했습니다.
Command_Clear_NotOpen,[CommandRegistry] 콘솔 UI가 열려있지 않습니다.
Command_FPS_Disabled,[CommandRegistry] FPS UI를 껐습니다.
Command_FPS_Enabled,[CommandRegistry] FPS UI를 켰습니다.
Command_Time_Set,[CommandRegistry] 타임 스케일이 {0}(으)로 설정되었습니다.
Command_Time_Current,[CommandRegistry] 현재 타임 스케일: {0}
Command_Set_Usage,[CommandRegistry] 사용법: set [이름] [값]
Command_Set_Success,[CommandRegistry] 변수 설정 완료 [{0} = {1}]
Command_Get_Usage,[CommandRegistry] 사용법: get [이름]
Command_Get_Success,[CommandRegistry] [{0}] = {1}
Command_Get_NotFound,[CommandRegistry] '{0}' 변수를 찾을 수 없습니다.
Command_LogSearch_Reset,[CommandRegistry] 로그 검색 필터를 초기화했습니다.
Command_LogSearch_Filtered,[CommandRegistry] 로그 검색 키워드: '{0}'
Command_LogFilter_Usage,[CommandRegistry] 사용법: log_filter [info/warn/error/system] [true/false]
Command_LogFilter_InvalidBool,[CommandRegistry] 올바른 불리언(true/false) 값이 아닙니다.
Command_LogFilter_UnknownType,[CommandRegistry] 알 수 없는 로그 필터 타입입니다: '{0}'
Command_LogFilter_Success,[CommandRegistry] 로그 필터 변경 [{0} -> {1}]
