# Table Type: Localization,
# Description: 게임 내 콘솔 및 명령어 현지화 데이터 관리 테이블,
# Rule: 콤마 사용 불가. Key는 고유 값이어야 하며 중복 불가. 각 Key별 Text에 포맷팅 파라미터({0}/{2} 등) 사용 가능,
Key,Text
# Index: CommandRegistry,
Console_Parameter_Format,- {0}
Console_Input_Format,> {0}
Console_Help_Header,--- 사용 가능한 명령어 목록 ---
Console_Help_Format,- {0}: {1}
Console_Help_Detail,[{0}] {1}
Console_Help_NotFound,{0}' 명령어에 대한 설명을 찾을 수 없습니다.
Console_Desc_Help,사용 가능한 명령어 목록을 표시하거나 명령어의 상세 설명을 확인합니다.
Console_Desc_Debug,디버그 모드를 켜거나 끕니다.
Console_Desc_Clear,콘솔창의 로그 기록을 지웁니다.
Console_Desc_FPS,FPS 표시 UI를 켜거나 끕니다.
Console_Desc_Time,게임 타임 스케일을 설정하거나 확인합니다.
Console_Desc_Set,임의의 현재 변수를 설정합니다.
Console_Desc_SetBase,임의의 기준 변수를 설정합니다.
Console_Desc_Get,지정한 변수의 값을 가져옵니다.
Console_Desc_LogSearch,로그 메시지에서 특정 키워드를 검색합니다.
Console_Desc_LogFilter,특정 타입의 로그 가시성을 설정합니다.
Console_Desc_Ground,땅 감지 박스 디버그 표시를 토글합니다.
Console_Desc_Scene,지정한 맵으로 즉시 이동합니다.
Console_Desc_Spawn,지정한 캐릭터를 Demo 맵에 소환합니다.
Console_Desc_Item,"지정한 아이템을 생성, 제거하거나 인벤토리를 비웁니다."
Console_Desc_Save,현재 게임 상태를 저장합니다.
Console_Debug_Toggle,디버그 모드: {0}
Console_Clear_Success,콘솔 로그를 초기화했습니다.
Console_Clear_NotOpen,콘솔 UI가 열려있지 않습니다.
Console_FPS_Disabled,FPS UI를 껐습니다.
Console_FPS_Enabled,FPS UI를 켰습니다.
Console_Time_Set,타임 스케일이 {0}(으)로 설정되었습니다.
Console_Time_Current,현재 타임 스케일: {0}
Console_Variable_Header,--- 사용 가능한 능력치 목록 ---
Console_Set_Usage,사용법: set [이름] [값]
Console_Set_Success,변수 설정 완료 [{0} = {1}]
Console_SetBase_Usage,사용법: setbase [이름] [값]
Console_SetBase_Success,변수 설정 완료 [{0} = {1}]
Console_Get_Usage,사용법: get [이름]
Console_Get_Success,[{0}] = {1}
Console_Get_NotFound,{0}' 변수를 찾을 수 없습니다.
Console_LogSearch_Reset,로그 검색 필터를 초기화했습니다.
Console_LogSearch_Filtered,로그 검색 키워드: '{0}'
Console_LogFilter_Usage,사용법: log_filter [info/warn/error/system] [true/false]
Console_LogFilter_InvalidBool,올바른 불리언(true/false) 값이 아닙니다.
Console_LogFilter_UnknownType,알 수 없는 로그 필터 타입입니다: '{0}'
Console_LogFilter_Success,로그 필터 변경 [{0} -> {1}]
Console_Ground_Toggle,땅 감지 디버그 박스 표시: {0}
Console_Scene_Usage,사용법: scene [SceneID] (사용 가능한 맵 목록 'scene list' 입력)
Console_Scene_Available,--- 이동 가능한 맵 목록 ---
Console_Scene_MovingProcess,{0}' 맵으로 이동 중...
Console_Scene_Invalid,유효하지 않은 SceneID입니다: '{0}'. 맵 목록을 보려면 'scene list'를 입력하세요.
Console_Spawn_Available,--- 소환 가능한 캐릭터 목록 ---
Console_Spawn_Usage,사용법: spawn [CharacterID]
Console_Spawn_NotDemo,이 명령어는 Demo 맵에서만 사용할 수 있습니다.
Console_Spawn_NotFoundPlayableCharacter,활성화된 플레이어 캐릭터가 없어 기본 '{0}' 캐릭터를 먼저 생성합니다.
Console_Spawn_Success,캐릭터 [{0}] 소환 완료!
Console_Spawn_Invalid,유효하지 않은 CharacterID입니다: '{0}'. 캐릭터 목록을 보려면 'spawn list'를 입력하세요.
Console_Item_Available,--- 소환 가능한 아이템 목록 ---
Console_Item_Usage,사용법: item [ItemID] [Quantity]
Console_Item_InvalidID,유효하지 않은 ItemID입니다: '{0}'.
Console_Item_InventoryFull,인벤토리가 가득 차서 아이템을 소환할 수 없습니다.
Console_Item_Success,[{0}] {1} 아이템을 {2}개 소환했습니다.
Console_Item_RemoveUsage,사용법: item remove [ItemID] [Quantity]
Console_Item_RemoveSuccess,[{0}] 아이템 {1}개 제거했습니다.
Console_Item_RemoveFailed,인벤토리에 제거할 아이템([{0}])이 없거나 잘못되었습니다.
Console_Item_ClearSuccess,인벤토리를 비웠습니다.
Console_Save_DefaultSlotSelected,기본 슬롯({0}번)에 저장합니다.
Console_Save_Success,게임 저장을 완료했습니다.
Console_Save_InvalidSlot,유효하지 않은 세이브 슬롯 번호입니다: '{0}'.
