# Table Type: Localization,
# Description: 게임 내 상호작용 현지화 데이터 관리 테이블,
# Rule: 콤마 사용 불가. Key는 고유 값이어야 하며 중복 불가. 각 Key별 Text에 포맷팅 파라미터({0}/{2} 등) 사용 가능,
Key,Text
# Index: Interaction,
Interaction_NPC,NPC 대화 시작/종료 처리
Interaction_Quest,퀘스트 수락/완료 및 분기 트리거 연동
Interaction_Shop,상점 UI 진입
Interaction_Save,세이브 UI 진입 또는 즉시 저장
Interaction_Event,컷신 이벤트 / 능력 해금 / 봉인된 문 조작
Interaction_StageProgress,게임 파트 이동 / 퍼즐 진입 / 보스전 선택
Interaction_Door,맵 진입 및 경계 이동 처리
Interaction_TrayHolder,식판 획득 및 빈칸/채워짐 상태 확인
Interaction_Tray,식판 획득/내려놓기/던지기/식탁 배치
Interaction_DiningTable,식탁 상태 체크 및 클리어 조건 확인
