# Table Type: Localization,
# Description: 아이템 이름 및 설명 현지화 데이터 관리 테이블,
# Rule: 콤마 사용 불가. Key는 고유 값이어야 하며 중복 불가. 각 Key별 Text에 포맷팅 파라미터({0}/{2} 등) 사용 가능,
Key,Text
# Index: Item,
# Index: Name,
Item_Name_1,테스트용 모자
Item_Name_2,테스트용 상의
Item_Name_3,테스트용 하의
Item_Name_4,테스트용 신발
Item_Name_5,테스트용 대검
Item_Name_6,테스트용 포션
Item_Name_7,테스트용 재화
# Index: Description,
Item_Description_1,체력: +1
Item_Description_2,임시체력: +1
Item_Description_3,이동속도: +1
Item_Description_4,점프력: +1\n점프횟수: +1
Item_Description_5,공격력: +1\n공격속도: +1\n공격간격: +0.2
Item_Description_6,체력: +1\n재사용 대기시간: 2초
Item_Description_7,레포디 테스트용 포션
# Index: Flavor,
Item_Flavor_1,테스트하기 귀찮은 사람이 만든 모자다.
Item_Flavor_2,테스트하기 귀찮은 사람이 만든 상의다.
Item_Flavor_3,테스트하기 귀찮은 사람이 만든 하의다.
Item_Flavor_4,테스트하기 귀찮은 사람이 만든 신발이다.
Item_Flavor_5,테스트하기 귀찮은 사람이 만든 무기다.
Item_Flavor_6,테스트하기 귀찮은 사람이 만든 포션이다.
Item_Flavor_7,테스트하기 귀찮은 사람이 만든 재화다.
