# Table Type: Localization,
# Description: 게임 내 로그 및 시스템 메시지 현지화 데이터 관리 테이블,
# Rule: 콤마 사용 불가. Key는 고유 값이어야 하며 중복 불가. 각 Key별 Text에 포맷팅 파라미터({0}/{2} 등) 사용 가능,
Key,Text
# Index: AttributeRegistry,
Log_Attribute_Registry_Unsupported,[AttributeRegistry] 지원하지 않는 데이터 타입입니다: {0}('{1}')
# Index: ConfigManager,
Log_Config_CreatedNew,[ConfigManager] 새로운 설정 파일을 생성했습니다.
Log_Config_LoadedSuccessfully,[ConfigManager] 설정 파일을 성공적으로 불러왔습니다.
Log_Config_LoadFailed,[ConfigManager] 설정 파일을 불러오는 중 오류가 발생했습니다.
Log_Config_SaveFailed,[ConfigManager] 설정 파일을 저장하는 중 오류가 발생했습니다.
Log_Config_Reset,[ConfigManager] 설정을 초기화했습니다.
Log_Config_ConsoleEnabled,[ConfigManager] 명령어 인자에 의해 디버그 콘솔이 활성화되었습니다.
Log_Config_DebugEnabled,[ConfigManager] 명령어 인자에 의해 디버그 모드가 활성화되었습니다.
# Index: ConsoleManager,
Log_Console_NoDescription,[ConsoleManager] 제공된 설명이 없습니다.
Log_Console_Error,[ConsoleManager] 명령어 실행 중 오류가 발생했습니다 ('{0}')
Log_Console_UnknownCommand,[ConsoleManager] 알 수 없는 명령어입니다: '{0}'. 사용 가능한 명령어 목록을 보려면 'help'를 입력하세요.
# Index: ControlManager,
Log_Control_AssetLoadFailed,[ControlManager] 인풋 액션 자산을 불러오지 못했습니다: {0}
Log_Control_LoadedSuccessfully,[ControlManager] 인풋 제어 시스템을 성공적으로 불러왔습니다.
Log_Control_MapNotFound,[ControlManager] 활성화할 액션 맵을 찾을 수 없습니다: '{0}'
# Index: DataManager,
Log_Data_LoadedSuccessfully,[DataManager] 데이터 테이블 '{0}'을(를) 성공적으로 불러왔습니다.
Log_Data_AssetNotFound,[DataManager] 데이터 에셋을 찾을 수 없습니다: '{0}'
Log_Data_DeserializeFailed,[DataManager] 테이블 '{0}'의 역직렬화 중 오류가 발생했습니다.
Log_Data_DuplicateKey,[DataManager] 테이블 '{0}'에서 중복된 키가 발견되어 무시됩니다: '{1}'
# Index: FeedbackManager,
Log_Feedback_AlertPopup_Cancelled,[FeedbackManager] 알림 팝업 대기가 취소되었습니다.
Log_Feedback_ConfirmPopup_Cancelled,[FeedbackManager] 확인 팝업 대기가 취소되었습니다.
# Index: GameManager,
Log_Game_Loading_NewData,[GameManager] 세이브 파일을 불러오는 중입니다.
Log_Game_Loading_SaveData,[GameManager] 새로운 게임 데이터를 생성하는 중입니다.
Log_Game_Loading_PlayerSpawn,[GameManager] 캐릭터를 생성하고 월드로 이동하는 중입니다.
Log_Game_Loading_UI,[GameManager] 인터페이스를 불러오는 중입니다.
Log_Game_PlayerSpawnFailed,[GameManager] 캐릭터('{0}') 생성에 실패했습니다.
Log_Game_PlayerSpawnSuccess,[GameManager] 캐릭터('{0}')를 성공적으로 생성했습니다.
# Index: LocalizationManager,
Log_Localization_LoadedSuccessfully,[LocalizationManager] 현지화 시스템을 성공적으로 불러왔습니다.
Log_Localization_FileReadFailed,[LocalizationManager] 현지화 파일('{0}')을 읽는 중 오류가 발생했습니다.
Log_Localization_Synced,[LocalizationManager] 현지화 데이터 동기화를 완료했습니다: (변경: '{0}'건)
Log_Localization_SyncFailed,[LocalizationManager] 현지화 파일 동기화 중 오류가 발생했습니다.
Log_Localization_SaveFailed,[LocalizationManager] 현지화 파일('{0}') 저장에 실패했습니다.
Log_Localization_LanguageFileParseFailed,[LocalizationManager] 언어 지원 파일('{0}')을 분석하는 중 오류가 발생했습니다.
# Index: LogManager,
Log_Log_SetupCompleted,[LogManager] 로깅 시스템 초기화 및 대기열 처리를 완료했습니다.
# Index: PoolManager,
Log_Pool_InstantiateFailed,[PoolManager] 키에 해당하는 오브젝트 생성에 실패했습니다: '{0}'
Log_Pool_Cleared,[PoolManager] 오브젝트 풀을 정리했습니다. 총 파괴된 개수: {0}
# Index: PreloadManager,
Log_Preload_BootStarted,[PreloadManager] 게임 초기 부팅 프리로드 프로세스를 시작합니다.
Log_Preload_Boot_Data,[PreloadManager] 환경 설정을 불러오는 중...
Log_Preload_Boot_Asset,[PreloadManager] 에셋 리소스를 불러오는 중...
Log_Preload_Boot_UI,[PreloadManager] UI 리소스를 불러오는 중...
Log_Preload_Boot_Object,[PreloadManager] 오브젝트 풀을 불러오는 중...
Log_Preload_Boot_Complete,[PreloadManager] 로딩이 완료되었습니다.
Log_Preload_BootFinished,[PreloadManager] 게임 초기 부팅 프리로드 프로세스가 성공적으로 완료되었습니다.
# Index: ResourceManager,
Log_Resource_LoadFailed_Null,[ResourceManager] 경로('{0}')의 에셋을 불러왔으나 결과가 null 입니다.
Log_Resource_LoadFailed_Exception,[ResourceManager] 경로('{0}')의 에셋을 로드하는 중 예외가 발생했습니다.
# Index: SaveManager,
Log_Save_RestoredFromBackup,[SaveManager] 슬롯 {0}: 기본 파일이 없어 백업 파일에서 복원했습니다.
Log_Save_LoadSuccess,[SaveManager] 슬롯 {0} 데이터를 성공적으로 불러왔습니다.
Log_Save_LoadFailed,[SaveManager] 슬롯 {0} 데이터 로드 중 예외가 발생하여 새 게임을 시작합니다.
Log_Save_SaveSuccess,[SaveManager] 슬롯 {0} 데이터 저장을 완료했습니다.
Log_Save_SaveFailed,[SaveManager] 슬롯 {0} 데이터 저장 중 예외가 발생했습니다.
Log_Save_MetaLoadFailed,[SaveManager] 메타데이터 로드 중 예외가 발생했습니다.
Log_Save_MetaSaveFailed,[SaveManager] 메타데이터 저장 중 예외가 발생했습니다.
Log_Save_ClearSuccess,[SaveManager] 슬롯 {0}을 삭제했습니다.
Log_Save_NewGameStarted,[SaveManager] 슬롯 {0}에서 새 게임을 생성했습니다.
# Index: SceneManager,
Log_Scene_LoadSuccess,[SceneManager] '{0}'맵을 성공적으로 로드했습니다.
Log_Scene_LoadFailed,[SceneManager] '{0}'맵을 로드하는 중 에셋을 찾지 못했습니다.
Log_Scene_TransitionFailed,[SceneManager] '{0}'맵에서 '{1}'맵으로의 씬 전환 규칙이 존재하지 않습니다.
Log_Scene_NotFoundCharacter,[SceneManager] 캐릭터가 존재하지 않아 스폰 위치로 이동할 수 없습니다.
Log_Scene_NormalizedSpawn,[SceneManager] 캐릭터를 스폰 포인트로 보정하여 이동시켰습니다: '{0}'
Log_Scene_NotFoundSpawnpoint,[SceneManager] '{0}'에 해당하는 스폰 포인트를 찾지 못했습니다.
# Index: UIManager,
Log_UI_RootInitialized,[UIManager] UI 루트 및 레이어 구조가 성공적으로 초기화되었습니다.
Log_UI_OpenDisplayFailed,[UIManager] 디스플레이 UI({0})를 생성(Pop)하는 데 실패했습니다.
Log_UI_OpenPopupFailed,[UIManager] 팝업 UI({0})를 생성(Pop)하는 데 실패했습니다.
Log_UI_OpenSystemFailed,[UIManager] 시스템 UI({0})를 생성(Pop)하는 데 실패했습니다.
