# Table Type: Localization,
# Description: 게임 내 UI 컴포넌트 및 메시지 현지화 데이터 관리 테이블,
# Rule: 콤마 사용 불가. Key는 고유 값이어야 하며 중복 불가. 각 Key별 Text에 포맷팅 파라미터({0} or {1} 등) 사용 가능,
Key,Text
# Index: UIConsoleSystem,
UI_Console_System_AutoComplete_Candidates,자동 완성 후보: {0}
# Index: UIFPSSystem,
UI_FPS_System_Indicator,FPS: {0}
# Index: UITitleDisplay,
UI_Title_Display_Text_Press_Any_Key,Press any key to start.
# Index: UIOptionPopup,
UI_Option_Popup_Text_Sound,사운드
UI_Option_Popup_Text_Graphic,그래픽
UI_Option_Popup_Text_Access,접근성
UI_Option_Popup_Text_Master,마스터 볼륨
UI_Option_Popup_Text_BGM,음악
UI_Option_Popup_Text_Ambient,환경음
UI_Option_Popup_Text_SFX,효과음
UI_Option_Popup_Text_UI,UI 볼륨
UI_Option_Popup_Text_Mute,프로그램 백그라운드 시 음소거
UI_Option_Popup_Text_Resolution,해상도
UI_Option_Popup_Text_Resolution_Dropdown,{0} x {1} ({2}hz)
UI_Option_Popup_Text_Fullscreen,창모드
UI_Option_Popup_Text_Fullscreen_FullscreenWindow,전체화면
UI_Option_Popup_Text_Fullscreen_Windowed,창모드
UI_Option_Popup_Text_Fullscreen_ExclusiveFullscreen,테두리 없는 창모드
UI_Option_Popup_Text_Quality,텍스쳐
UI_Option_Popup_Text_Quality_High,높음
UI_Option_Popup_Text_Quality_Medium,중간
UI_Option_Popup_Text_Quality_Low,낮음
UI_Option_Popup_Text_Vsync,수직 동기화
UI_Option_Popup_Text_Antialiasing,안티 앨리어싱
UI_Option_Popup_Text_Bloom,블룸
UI_Option_Popup_Text_AO,앰비언트 오클루전
UI_Option_Popup_Text_Keybind,키보드 조작 설정
UI_Option_Popup_Text_Bind,>설정할 키 입력<
UI_Option_Popup_Text_Modifier,대시키+방향키
UI_Option_Popup_Text_Tap,방향키 더블탭
UI_Option_Popup_Default_Confirm_Title,기본값 초기화
UI_Option_Popup_Default_Confirm_Message,모든 설정을 기본값으로 되돌리시겠습니까?
# Index: UISaveDetailPopup,
UI_SaveDetail_Popup_Delete_Confirm_Title,세이브 삭제
UI_SaveDetail_Popup_Delete_Confirm_Message,정말 이 세이브를 삭제하시겠습니까?
