# Table Type: PlayableCharacterTemplate,,
# Description: 플레이어블 캐릭터 및 객체 속성 정의 테이블,,
# Rule: 콤마 사용 불가. ID는 PlayableCharacter 문서 내 캐릭터 ID와 연결. AttributeKey는 Attribute 문서 내 정의된 Key와 연결,,
# Foreign ID: PlayableCharacter.csv,,
# Foreign Key: Attribute.csv,,
PlayableCharacterID,AttributeKey,Value
# Index: PlayableCharacterTemplate,,
1,Health,6
1,TemporaryHealth,0
1,MoveSpeed,5
1,Acceleration,15
1,Deceleration,20
1,TurnDeceleration,35
1,JumpCount,2
1,JumpForce,6
1,DashCount,2
1,DashMultiplier,2
1,DashDistance,4
1,DashCooldown,3
