# Table Type: SceneTransition,,
# Description: 맵(Scene) 이동 규칙. 연결 관계(From/To) 및 이동 정의 테이블,,
# Rule: 콤마 사용 불가. ID는 현재 맵 번호. Type은 이동 방식의 정의. ,,
# ID: Scene.csv,,
# Foreign ID: Scene.csv(SceneID/ToSceneID),,
SceneID,Type,ToSceneID
# Index: SceneTransition,,
# Index: Tutorial,,
3,Boundary,4
4,Boundary,3
4,Boundary,5
5,Boundary,4
5,Portal,6
6,Portal,5
6,Portal,7
7,Portal,6
6,Portal,8
8,Portal,6
# Index: Adventure,,
9,Portal,12
12,Portal,9
9,Boundary,10
10,Boundary,9
10,Portal,13
13,Portal,10
10,Portal,14
14,Portal,10
10,Boundary,11
11,Boundary,10
11,Boundary,15
15,Boundary,11
15,Portal,16
16,Portal,15
13,Boundary,17
17,Boundary,13
17,Portal,18
18,Portal,17
